timestamp,checkpoint,get-roots
1786934280,100.0000,100.0000
1786937280,100.0000,100.0000
1786940280,100.0000,100.0000
1786947480,100.0000,100.0000
1786950480,100.0000,100.0000
1786953480,100.0000,100.0000
1786956480,100.0000,100.0000
1786959480,100.0000,100.0000
1786962480,100.0000,100.0000
1786965480,100.0000,100.0000
1786974480,100.0000,100.0000
1786984080,100.0000,100.0000
1786985880,100.0000,100.0000
1786993680,100.0000,100.0000
1786998480,100.0000,100.0000
1787002080,100.0000,100.0000
1787006280,100.0000,100.0000
1787013480,100.0000,100.0000
1787020080,100.0000,100.0000
1787023080,100.0000,100.0000
1787027280,100.0000,100.0000
1787033880,100.0000,100.0000
1787037480,100.0000,100.0000
1787041080,100.0000,100.0000
1787045880,100.0000,100.0000
1787049480,100.0000,100.0000
1787056080,100.0000,100.0000
1787059080,100.0000,100.0000
1787065680,100.0000,100.0000
1787071680,100.0000,100.0000
1787074080,100.0000,100.0000
1787076480,100.0000,100.0000
1787081280,100.0000,100.0000
1787084880,100.0000,100.0000
1787088480,100.0000,100.0000
1787092080,100.0000,100.0000
1787099280,100.0000,100.0000
1787105280,100.0000,100.0000
1787108880,100.0000,100.0000
1787113680,100.0000,100.0000
1787120280,100.0000,100.0000
1787123880,100.0000,100.0000
1787128080,100.0000,100.0000
1787131080,100.0000,100.0000
1787135880,100.0000,100.0000
1787142480,100.0000,100.0000
1787145480,100.0000,100.0000
1787149080,100.0000,100.0000
1787152080,100.0000,100.0000
1787162880,100.0000,100.0000
1787169480,100.0000,100.0000
1787173080,100.0000,100.0000
1787176080,100.0000,100.0000
1787179680,100.0000,100.0000
1787186880,100.0000,100.0000
1787192880,100.0000,100.0000
1787195880,100.0000,100.0000
1787200080,100.0000,100.0000
1787203080,100.0000,100.0000
1787211480,100.0000,100.0000
1787215080,100.0000,100.0000
1787218680,100.0000,100.0000
1787221680,100.0000,100.0000
1787228880,100.0000,100.0000
1787231880,100.0000,100.0000
1787238480,100.0000,100.0000
1787241480,100.0000,100.0000
1787244480,100.0000,100.0000
1787248080,100.0000,100.0000
1787252280,100.0000,100.0000
1787255880,100.0000,100.0000
1787259480,100.0000,100.0000
1787271480,100.0000,100.0000
1787278680,100.0000,100.0000
1787282280,100.0000,100.0000
1787293080,100.0000,100.0000
1787298480,100.0000,100.0000
1787302080,100.0000,100.0000
1787305080,100.0000,100.0000
1787308680,100.0000,100.0000
1787312280,100.0000,100.0000
1787318880,100.0000,100.0000
1787329080,100.0000,100.0000
1787330880,100.0000,100.0000
1787334480,100.0000,100.0000
1787338080,100.0000,100.0000
1787345280,100.0000,100.0000
1787348880,100.0000,100.0000
1787352480,100.0000,100.0000
1787359080,100.0000,100.0000
1787362680,100.0000,100.0000
1787374680,100.0000,100.0000
1787377680,100.0000,100.0000
1787381280,100.0000,100.0000
1787388480,100.0000,100.0000
1787392080,100.0000,100.0000
1787395080,100.0000,100.0000
1787401080,100.0000,100.0000
1787407680,100.0000,100.0000
1787414280,100.0000,100.0000
1787420880,100.0000,100.0000
1787423880,100.0000,100.0000
1787430480,100.0000,100.0000
1787432280,100.0000,100.0000
1787434080,100.0000,100.0000
1787439480,100.0000,100.0000
1787447880,100.0000,100.0000
1787450880,100.0000,100.0000
1787453880,100.0000,100.0000
1787457480,100.0000,100.0000
1787466480,100.0000,100.0000
1787469480,100.0000,100.0000
1787473080,100.0000,100.0000
1787479080,100.0000,100.0000
1787485080,100.0000,100.0000
1787491680,100.0000,100.0000
1787494680,100.0000,100.0000
1787500680,100.0000,100.0000
1787503680,100.0000,100.0000
1787513880,100.0000,100.0000
1787516880,100.0000,100.0000
1787519880,100.0000,100.0000
1787522880,100.0000,100.0000
1787525880,100.0000,100.0000
1787535480,100.0000,100.0000
1787539680,100.0000,100.0000
1787545680,100.0000,100.0000
