timestamp,add-chain,add-pre-chain,get-entries,get-proof-by-hash,get-roots,get-sth,get-sth-consistency
1779994080,100.0000,91.6667,100.0000,100.0000,100.0000,100.0000,99.2857
1780003080,100.0000,91.6667,100.0000,100.0000,100.0000,100.0000,99.2857
1780005480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2806
1780023480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,97.8417
1780043280,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,98.5611
1780055280,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,98.5611
1780068480,100.0000,100.0000,99.2754,100.0000,100.0000,100.0000,98.5714
1780079280,100.0000,100.0000,99.2754,100.0000,100.0000,100.0000,98.5714
1780081080,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,98.5611
1780089480,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,98.5714
1780101480,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,99.2857
1780117080,100.0000,100.0000,98.5611,100.0000,100.0000,100.0000,100.0000
1780124880,100.0000,100.0000,99.2857,100.0000,100.0000,100.0000,100.0000
1780132680,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1780138080,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1780148880,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1780154280,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1780158480,100.0000,100.0000,99.2857,100.0000,100.0000,100.0000,100.0000
1780168680,100.0000,100.0000,99.2857,100.0000,100.0000,100.0000,100.0000
1780174080,100.0000,100.0000,99.2857,100.0000,100.0000,100.0000,100.0000
1780175880,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1780181280,100.0000,100.0000,99.2806,100.0000,100.0000,100.0000,100.0000
1780187880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780205880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780219080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780224480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780235280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780238880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780244280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780251480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780258080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780261080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780264080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780284480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780303680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780323480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780342080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780349280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780360080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780380480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780395480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780409880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780426680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780433880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780440480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1780459680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
